beat_index,beat_time_sec,ch0.r_amp,ch0.s_amp,ch0.rs_ratio,ch0.qrs_max_slope,ch0.qrs_area,ch0.qrs_energy,ch0.st_j,ch0.st_60ms,ch0.st_80ms,ch0.t_peak_amp,ch0.t_area,ch0.qrs_notches,ch0.qrs_is_fragmented,ch0.waveE_L1,ch0.waveE_L2,ch0.waveE_L3,ch0.waveE_L4,ch0.waveE_L5,morph_corr_allleads,ST60_max_abs,ST60_max_lead,ST80_max_abs,ST80_max_lead
51,82.634,798.4417635694189,552.2305349211335,1.4458486321902642,731542.2949070127,93.53826094652177,164986034.31566548,552.2305349211335,82.86404913082625,100.68524859937641,-5979.36034155759,-32.25797609846365,4.0,1.0,,,,,,0.05321884676565059,82.86404913082625,ch0.st_60ms,100.68524859937641,ch0.st_80ms
52,83.076,567.7200751232966,-10.545446666468251,53.83556458812667,733290.6679375374,93.20622862564419,178459425.46408728,-10.545446666468251,-143.23265675178305,-127.96670977227659,12.084315321606056,-4.3822890346322065,5.0,1.0,,,,,,0.056627631667721785,143.23265675178305,ch0.st_60ms,127.96670977227659,ch0.st_80ms
53,85.392,1550.7643633089522,-11589.5685816545,0.13380691027306288,1437886.282806569,175.92603077061514,671045998.2314582,476.48812755536073,16.456344308448223,37.94456001382676,153.8005585676237,2.3609191381066417,4.0,1.0,,,,,,0.028386731823040332,16.456344308448223,ch0.st_60ms,37.94456001382676,ch0.st_80ms
54,86.81,1515.341101960826,-11595.310859978437,0.13068568150174148,1437247.6855014502,180.06740822411598,670524536.0693678,316.0449064221212,146.30524606202886,177.5619205385483,137.9941765210432,1.8954864810279537,4.0,1.0,,,,,,0.028889576544475055,146.30524606202886,ch0.st_60ms,177.5619205385483,ch0.st_80ms
55,87.05,22.162918791886653,-147.3680251871773,0.15039163864574254,17505.540712420043,5.247016767727056,253280.1533799654,-139.14401815782344,-74.41938528032733,-136.96761740140997,20.625096711514487,-10.761402435423483,6.0,1.0,,,,,,0.23078897817287755,74.41938528032733,ch0.st_60ms,136.96761740140997,ch0.st_80ms
56,87.554,119.99964394906993,-74.91701519530659,1.601767550885926,20562.320249670585,5.608948850389112,167240.78718240344,-57.789872978062746,12.691138335983801,-47.789517342580375,91.243346799873,-22.56468840091084,4.0,1.0,,,,,,0.44257216077121625,12.691138335983801,ch0.st_60ms,47.789517342580375,ch0.st_80ms
57,87.956,126.49237623908826,-49.19204332352016,2.5713991062983257,25156.274490254014,6.043666475970569,233587.13412704217,15.548122522480195,-46.60650116429117,-41.24165663748919,106.99765423248465,-0.2242665028669586,3.0,1.0,,,,,,0.30335298912860037,46.60650116429117,ch0.st_60ms,41.24165663748919,ch0.st_80ms
58,88.656,73.87362862492719,-3.386193887053576,21.816124855510488,15736.444215582915,10.067069404082636,502933.8738119229,15.951687437832327,9.632336366837535,38.55982062789431,130.62590930329122,4.371087575350867,7.0,1.0,,,,,,0.18994225624055489,9.632336366837535,ch0.st_60ms,38.55982062789431,ch0.st_80ms
59,101.268,144.0814302454445,-123.36868833096162,1.1678930220844752,24804.775529084018,8.83955326390708,379248.02675280767,-111.66877727428991,-113.29341195157085,-134.92239678468943,-213.05057788016217,-10.815601095037637,4.0,1.0,,,,,,0.45988429699901007,113.29341195157085,ch0.st_60ms,134.92239678468943,ch0.st_80ms
60,103.076,1038.4636476563182,475.636891285617,2.18331182185935,738161.9934538244,97.31103608599169,156301342.78033707,475.636891285617,555.6401712438823,653.7970139710543,-23276.17618495863,426.89630513532336,3.0,1.0,,,,,,-0.15815376314166024,555.6401712438823,ch0.st_60ms,653.7970139710543,ch0.st_80ms
61,103.482,413.60025364139847,413.60025364139847,1.0,11730.917670872714,32.34307400263549,5062015.971275641,413.60025364139847,676.402138833068,2507.4178222968662,-34558.662428447475,-1899.373650077412,0.0,0.0,,,,,,0.00916482953116295,676.402138833068,ch0.st_60ms,2507.4178222968662,ch0.st_80ms
62,103.562,2247.397511167322,-34815.53062599195,0.06455158002071353,3011144.7402261654,539.7529856446585,7865926153.5250025,-33631.875024767505,2120.6551635099545,168.27406332917053,266.3486701074976,4.5033537932647985,3.0,1.0,,,,,,-0.11739963742925624,2120.6551635099545,ch0.st_60ms,168.27406332917053,ch0.st_80ms
63,103.826,-221.18959362478336,-424.4009200787207,-0.5211807589478261,17788.325918412625,28.92296223586888,3747826.242538715,-418.5031757623019,-620.9592404428108,-702.3287043974465,-758.461233882618,-54.38068161356106,0.0,0.0,,,,,,0.38066349224491997,620.9592404428108,ch0.st_60ms,702.3287043974465,ch0.st_80ms
64,108.794,136.13911257613353,51.452036861317964,2.6459421410872066,13214.54327650882,6.234856766953611,369122.4877373447,90.93230743686856,48.2581251891975,80.09730263359963,-5735.085830729466,2.0992894497826775,1.0,0.0,,,,,,-0.05489485621506386,48.2581251891975,ch0.st_60ms,80.09730263359963,ch0.st_80ms
65,109.2,93.72823763550502,93.72823763550502,1.0,13753.37653252052,4.568790354139366,154565.14378084338,93.72823763550502,166.43102401572247,409.9180706445993,-17155.190048178087,-204.73907955964367,3.0,1.0,,,,,,0.081688501945635,166.43102401572247,ch0.st_60ms,409.9180706445993,ch0.st_80ms
66,109.452,1943.8886688582247,417.9584628743356,4.650913527363313,2063159.1218057692,263.3513342173383,1460728719.631852,417.9584628743356,110.29735043130921,72.16281351536969,-11690.286228625255,-113.40575810889938,4.0,1.0,,,,,,0.039061923172303746,110.29735043130921,ch0.st_60ms,72.16281351536969,ch0.st_80ms
67,109.948,1425.407675528229,361.86305013448197,3.9390804753303597,1439810.434525929,176.26908756494012,686917876.4979556,361.86305013448197,-67.1729839859087,-69.25606740746042,-55.264579140705564,-3.809876021807113,4.0,1.0,,,,,,0.05583261826632908,67.1729839859087,ch0.st_60ms,69.25606740746042,ch0.st_80ms
68,114.878,2793.161270297585,1093.0135603086928,2.5554680854176506,2589664.8145483243,337.7719987103022,2447231024.623919,1093.0135603086928,218.4612310236198,301.02553444732246,-20597.261606872944,-354.2150975663702,4.0,1.0,,,,,,0.09073483997020727,218.4612310236198,ch0.st_60ms,301.02553444732246,ch0.st_80ms
69,115.048,2475.368706780918,-20807.439575793713,0.11896556026338927,2375654.257083187,503.4478286358195,2947062323.815916,308.9129599543626,-43.36115436645309,112.51565533242524,309.4110771683529,73.60085440356627,6.0,1.0,,,,,,-0.025143698462059452,43.36115436645309,ch0.st_60ms,112.51565533242524,ch0.st_80ms
